-11,-10,-9,-5,-10,7,-16,-6,0,-14
-26,-20,-18,-15,-22,6,-30,-17,-8,-26
-4,-10,-4,0,-2,-15,-2,-4,-6,-2
-2,-7,-1,1,0,-11,-1,-3,-3,-1
-15,-15,-11,-6,-12,0,-17,-9,-3,-15
-23,-23,-16,-10,-18,-9,-23,-16,-12,-20
-11,-6,-8,-8,-10,-2,-9,-9,-8,-7
-14,-16,-10,-5,-11,-5,-15,-9,-5,-13
-5,-6,-3,-1,-3,1,-6,-2,1,-5
-15,-15,-10,-6,-12,2,-18,-9,-3,-15
-9,-4,-6,-6,-7,-3,-7,-7,-8,-5
-18,-11,-13,-11,-16,4,-20,-12,-7,-16
-2,-5,-2,0,-1,2,-4,0,2,-5
-27,-15,-20,-19,-26,8,-29,-19,-12,-25
-11,-10,-9,-5,-10,7,-16,-6,0,-14
-26,-20,-18,-15,-22,6,-30,-17,-8,-26
-4,-10,-4,0,-2,-15,-2,-4,-6,-2
-11,-10,-9,-5,-10,7,-16,-6,0,-14
-26,-20,-18,-15,-22,6,-30,-17,-8,-26
-4,-10,-4,0,-2,-15,-2,-4,-6,-2
-11,-10,-9,-5,-10,7,-16,-6,0,-14
-26,-20,-18,-15,-22,6,-30,-17,-8,-26
-4,-10,-4,0,-2,-15,-2,-4,-6,-2
