-6,-8,5,5,-39,-149,-5,-14,-9,29
-6,-8,4,3,-38,-158,-4,-14,-10,32
4,3,8,6,-20,-87,6,-2,-1,21
2,1,7,4,-18,-82,2,-5,-4,18
-1,0,5,4,-15,-70,-2,-7,-5,14
0,-2,7,5,-30,-135,1,-10,-7,30
0,0,6,5,-17,-80,1,-6,-4,17
-1,-2,6,5,-24,-102,0,-7,-5,22
-1,-2,8,6,-25,-100,0,-8,-5,19
2,3,12,8,-28,-108,3,-5,-3,17
-1,-3,6,4,-30,-126,1,-8,-5,28
-2,-2,8,6,-31,-121,-1,-10,-6,21
-2,-2,3,3,-10,-44,-2,-5,-4,6
-10,-11,4,3,-41,-158,-10,-19,-13,27
-6,-8,5,5,-39,-149,-5,-14,-9,29
-6,-8,4,3,-38,-158,-4,-14,-10,32
4,3,8,6,-20,-87,6,-2,-1,21
-6,-8,5,5,-39,-149,-5,-14,-9,29
-6,-8,4,3,-38,-158,-4,-14,-10,32
4,3,8,6,-20,-87,6,-2,-1,21
-6,-8,5,5,-39,-149,-5,-14,-9,29
-6,-8,4,3,-38,-158,-4,-14,-10,32
4,3,8,6,-20,-87,6,-2,-1,21
