-32,-32,-21,-12,-21,8,-32,-19,-10,-27
-46,-45,-30,-18,-30,8,-46,-28,-16,-39
-16,-17,-10,-6,-15,-18,-17,-12,-7,-9
-18,-19,-10,-5,-12,-14,-18,-11,-6,-9
-35,-34,-20,-11,-23,-1,-34,-20,-11,-27
-44,-44,-28,-16,-32,-10,-43,-27,-16,-32
-39,-40,-25,-15,-16,-5,-39,-25,-14,-21
-26,-26,-16,-9,-21,-6,-26,-16,-9,-21
-23,-23,-14,-7,-14,-1,-24,-13,-7,-16
-36,-34,-20,-11,-22,1,-34,-20,-10,-27
-33,-34,-23,-13,-17,-5,-33,-22,-14,-19
-40,-39,-25,-15,-19,4,-40,-25,-15,-28
-17,-18,-10,-5,-11,1,-18,-10,-4,-13
-51,-50,-34,-21,-25,10,-51,-32,-19,-38
-32,-32,-21,-12,-21,8,-32,-19,-10,-27
-46,-45,-30,-18,-30,8,-46,-28,-16,-39
-16,-17,-10,-6,-15,-18,-17,-12,-7,-9
-32,-32,-21,-12,-21,8,-32,-19,-10,-27
-46,-45,-30,-18,-30,8,-46,-28,-16,-39
-16,-17,-10,-6,-15,-18,-17,-12,-7,-9
-32,-32,-21,-12,-21,8,-32,-19,-10,-27
-46,-45,-30,-18,-30,8,-46,-28,-16,-39
-16,-17,-10,-6,-15,-18,-17,-12,-7,-9
