-2,-50,-2,20,13,-126,29,-14,-39,24
-2,-49,-2,19,14,-133,31,-15,-42,26
1,-28,0,13,11,-74,19,-6,-21,15
-1,-27,0,12,8,-68,16,-8,-22,12
2,-19,1,10,9,-58,15,-6,-18,12
1,-39,0,17,13,-113,29,-11,-35,24
0,-24,1,12,9,-65,16,-7,-21,13
1,-32,1,14,11,-86,22,-8,-25,17
0,-33,1,16,11,-84,19,-10,-25,15
0,-40,1,19,14,-89,16,-8,-23,12
1,-39,-1,17,12,-107,27,-9,-32,21
-1,-43,0,19,13,-100,20,-11,-29,16
0,-14,0,7,5,-36,7,-5,-11,6
-4,-52,-3,19,13,-134,28,-18,-44,23
-2,-50,-2,20,13,-126,29,-14,-39,24
-2,-49,-2,19,14,-133,31,-15,-42,26
1,-28,0,13,11,-74,19,-6,-21,15
-2,-50,-2,20,13,-126,29,-14,-39,24
-2,-49,-2,19,14,-133,31,-15,-42,26
1,-28,0,13,11,-74,19,-6,-21,15
-2,-50,-2,20,13,-126,29,-14,-39,24
-2,-49,-2,19,14,-133,31,-15,-42,26
1,-28,0,13,11,-74,19,-6,-21,15
